"No.","Time","Source","Destination","Protocol","Length","Info"
"27","0.015804","Cisco_9b:54:d2","Broadcast","802.11","252","Beacon frame, SN=3154, FN=0, Flags=........C, BI=100, SSID=alumnos"
"36","0.019646","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2231, FN=0, Flags=........C, BI=100, SSID=alumnos"
"40","0.020889","Cisco_a9:50:a2","Broadcast","802.11","252","Beacon frame, SN=1213, FN=0, Flags=........C, BI=100, SSID=alumnos"
"56","0.028304","Cisco_9b:54:d4","Broadcast","802.11","252","Beacon frame, SN=3175, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"58","0.030931","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2232, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"61","0.033099","Cisco_a9:50:a4","Broadcast","802.11","252","Beacon frame, SN=1214, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"62","0.033671","Cisco_9a:9d:55","Broadcast","802.11","248","Beacon frame, SN=3628, FN=0, Flags=........C, BI=100, SSID=pdi"
"77","0.040232","Cisco_9b:54:d0","Broadcast","802.11","248","Beacon frame, SN=3176, FN=0, Flags=........C, BI=100, SSID=pas"
"84","0.042979","Cisco_1b:d2:60","Broadcast","802.11","248","Beacon frame, SN=2236, FN=0, Flags=........C, BI=100, SSID=pas"
"95","0.183702","Cisco_9b:54:d5","Broadcast","802.11","248","Beacon frame, SN=3199, FN=0, Flags=........C, BI=100, SSID=pdi"
"96","0.185220","Cisco_9a:9d:54","Broadcast","802.11","252","Beacon frame, SN=3639, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"99","0.186518","Cisco_1b:d2:65","Broadcast","802.11","248","Beacon frame, SN=2262, FN=0, Flags=........C, BI=100, SSID=pdi"
"102","0.188837","Cisco_a9:50:a5","Broadcast","802.11","248","Beacon frame, SN=1222, FN=0, Flags=........C, BI=100, SSID=pdi"
"109","0.197103","Cisco_9b:54:d1","Broadcast","802.11","252","Beacon frame, SN=3200, FN=0, Flags=........C, BI=100, SSID=eduroam"
"111","0.198506","Cisco_9a:9d:50","Broadcast","802.11","248","Beacon frame, SN=3642, FN=0, Flags=........C, BI=100, SSID=pas"
"114","0.201099","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1223, FN=0, Flags=........C, BI=100, SSID=eduroam"
"129","0.220537","Cisco_9b:54:d2","Broadcast","802.11","252","Beacon frame, SN=3201, FN=0, Flags=........C, BI=100, SSID=alumnos"
"136","0.223265","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2265, FN=0, Flags=........C, BI=100, SSID=alumnos"
"139","0.369613","Cisco-Li_72:e1:78","Broadcast","802.11","135","Beacon frame, SN=3388, FN=0, Flags=........C, BI=100, SSID=NEO"
"144","0.374956","Cisco-Li_a6:53:7c","Broadcast","802.11","133","Beacon frame, SN=3332, FN=0, Flags=........C, BI=100, SSID=GISUM_W1"
"148","0.377916","Cisco_9a:9d:52","Broadcast","802.11","252","Beacon frame, SN=3654, FN=0, Flags=........C, BI=100, SSID=alumnos"
"153","0.388395","Cisco_9b:54:d5","Broadcast","802.11","248","Beacon frame, SN=3239, FN=0, Flags=........C, BI=100, SSID=pdi"
"163","0.540147","Cisco_9b:54:d4","Broadcast","802.11","252","Beacon frame, SN=3264, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"164","0.542668","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2323, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"165","0.545083","Cisco_a9:50:a4","Broadcast","802.11","252","Beacon frame, SN=1241, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"166","0.545573","Cisco_9a:9d:55","Broadcast","802.11","248","Beacon frame, SN=3667, FN=0, Flags=........C, BI=100, SSID=pdi"
"168","0.552222","Cisco_9b:54:d0","Broadcast","802.11","248","Beacon frame, SN=3265, FN=0, Flags=........C, BI=100, SSID=pas"
"170","0.554955","Cisco_1b:d2:60","Broadcast","802.11","248","Beacon frame, SN=2325, FN=0, Flags=........C, BI=100, SSID=pas"
"171","0.557366","Cisco_a9:50:a0","Broadcast","802.11","248","Beacon frame, SN=1242, FN=0, Flags=........C, BI=100, SSID=pas"
"172","0.557855","Cisco_9a:9d:51","Broadcast","802.11","252","Beacon frame, SN=3668, FN=0, Flags=........C, BI=100, SSID=eduroam"
"177","0.570733","Cisco-Li_72:e1:78","Broadcast","802.11","135","Beacon frame, SN=3395, FN=0, Flags=........C, BI=100, SSID=NEO"
"184","0.579699","Cisco-Li_a6:53:7c","Broadcast","802.11","133","Beacon frame, SN=3334, FN=0, Flags=........C, BI=100, SSID=GISUM_W1"
"187","0.713310","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1252, FN=0, Flags=........C, BI=100, SSID=eduroam"
"199","0.721244","Cisco-Li_b0:b7:56","Broadcast","802.11","312","Beacon frame, SN=1758, FN=0, Flags=........C, BI=100, SSID=ICB-Wifi"
"213","0.732608","Cisco_9b:54:d2","Broadcast","802.11","252","Beacon frame, SN=3288, FN=0, Flags=........C, BI=100, SSID=alumnos"
"222","0.735740","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2360, FN=0, Flags=........C, BI=100, SSID=alumnos"
"226","0.737750","Cisco_a9:50:a2","Broadcast","802.11","252","Beacon frame, SN=1253, FN=0, Flags=........C, BI=100, SSID=alumnos"
"243","0.744812","Cisco_9b:54:d4","Broadcast","802.11","252","Beacon frame, SN=3309, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"250","0.747708","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2367, FN=0, Flags=........C, BI=100, SSID=WifiUma"
