eventType,nodeId,sourceId,destinationId,informationalMessage,transmittedMessage,newSimSpeed,nodeX,nodeY,nodeRange,nodeType,currentQuantum,isPromiscuous,isDroppingMessages,isMalicious,isOverridingHops,isChangingMessages,isReplayingMessages,isNotExpiringRoutes,hops
IN_SIM_SPEED,,,,,,11,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 11.,,11,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,12,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 12.,,12,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,13,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 13.,,13,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,14,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 14.,,14,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,15,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 15.,,15,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,16,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 16.,,16,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,17,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 17.,,17,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,18,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 18.,,18,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,19,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 19.,,19,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,20,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 20.,,20,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,19,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 19.,,19,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,18,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 18.,,18,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,17,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 17.,,17,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,16,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 16.,,16,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,15,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 15.,,15,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,14,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 14.,,14,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,13,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 13.,,13,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,12,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 12.,,12,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,11,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 11.,,11,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,10,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 10.,,10,0,0,0,,31,false,false,false,false,false,false,false,0
IN_SIM_SPEED,,,,,,9,0,0,0,,31,false,false,false,false,false,false,false,0
OUT_SIM_SPEED,,,,Simulation Speed Set: 9.,,9,0,0,0,,31,false,false,false,false,false,false,false,0
